brand,condition,ram_gb,storage_gb,carrier,price,usd_discount,user_rating,num_support_tickets_30d,days_since_purchase,expedited_shipping,returned
Google,New,12,128,AT&T,625.36,101.49,5.0,0,82,0,0
Samsung,New,12,128,T-Mobile,717.11,150.94,4.89,1,106,0,0
OnePlus,OpenBox,8,128,Unlocked,967.47,21.02,5.0,0,48,0,0
Google,New,6,256,Unlocked,844.76,278.33,5.0,0,97,0,0
Apple,New,8,128,Verizon,745.02,40.23,3.52,1,74,0,0
Xiaomi,New,6,128,Unlocked,651.32,101.64,4.53,0,23,0,1
Google,OpenBox,8,128,Verizon,627.09,80.16,4.34,1,67,1,0
Google,New,16,512,Verizon,821.01,82.77,4.46,0,115,0,0
Apple,OpenBox,6,128,AT&T,1295.68,32.46,4.2,1,118,0,0
Samsung,New,8,128,Unlocked,974.47,144.05,4.13,0,119,0,0
Samsung,New,12,128,Unlocked,556.77,28.76,3.85,1,9,0,0
Xiaomi,New,8,128,T-Mobile,1005.59,0.0,4.45,2,96,0,0
Samsung,New,6,256,Unlocked,683.04,12.68,4.87,2,57,1,0
OnePlus,OpenBox,6,256,Unlocked,848.93,166.72,4.15,1,54,0,0
Samsung,New,16,128,Unlocked,720.45,155.03,4.24,1,51,0,0
Apple,New,6,512,Unlocked,1295.01,0.0,4.05,0,81,0,0
Samsung,New,8,128,Unlocked,600.5,128.82,3.9,1,60,0,0
Apple,New,12,512,Unlocked,918.99,0.0,4.28,0,10,1,0
OnePlus,New,8,64,AT&T,699.23,78.37,4.57,1,47,0,1
Samsung,New,12,128,Verizon,1012.54,7.53,5.0,3,110,1,0
Google,Refurbished,6,512,T-Mobile,914.56,133.45,3.8,1,17,0,1
Apple,OpenBox,8,512,T-Mobile,1126.0,113.28,4.38,1,27,1,0
Xiaomi,OpenBox,8,256,Unlocked,1007.99,138.77,4.99,0,14,0,1
OnePlus,New,16,256,Unlocked,697.42,62.29,3.81,0,86,1,0
Google,New,8,256,T-Mobile,1491.56,68.52,5.0,1,97,0,0
Apple,New,6,256,Unlocked,972.19,0.0,4.18,0,96,0,0
Samsung,New,16,128,Unlocked,728.85,18.17,4.76,0,9,0,0
Apple,New,6,128,Unlocked,895.22,136.91,4.29,0,116,0,0
Apple,New,12,256,Verizon,988.78,102.04,4.63,1,107,0,1
Google,New,12,256,Unlocked,980.41,86.26,5.0,0,99,0,0
Google,New,8,512,Unlocked,959.13,155.73,4.34,0,103,0,0
Xiaomi,OpenBox,12,128,Unlocked,1062.63,1.99,4.9,1,98,0,0
Apple,New,12,128,AT&T,1041.0,123.21,4.54,2,5,0,0
Samsung,New,6,128,Unlocked,663.54,9.25,4.01,2,84,0,0
Samsung,New,16,256,AT&T,1313.77,168.67,4.33,0,109,0,0
Apple,New,16,64,Unlocked,1283.16,112.67,4.3,1,69,0,0
Apple,OpenBox,12,512,Unlocked,1026.21,137.87,3.69,0,109,0,0
Samsung,New,8,64,Unlocked,858.51,37.9,4.63,0,5,0,0
Apple,OpenBox,8,128,Unlocked,862.29,210.93,4.73,1,72,0,0
Samsung,OpenBox,8,256,Unlocked,778.77,199.91,4.81,0,116,1,0
Samsung,New,6,128,T-Mobile,807.24,105.82,5.0,1,67,1,0
OnePlus,New,8,256,Unlocked,368.91,150.52,4.88,0,54,0,1
Google,New,8,128,T-Mobile,1186.66,61.89,4.1,0,35,0,0
Apple,New,12,256,Unlocked,1109.04,3.89,4.2,1,95,0,0
OnePlus,New,8,256,Unlocked,481.13,127.75,4.82,1,113,0,1
Google,Refurbished,8,512,Verizon,1045.8,24.84,4.59,0,45,0,0
Samsung,New,8,64,AT&T,848.3,158.61,4.39,0,60,0,1
Apple,OpenBox,8,128,Unlocked,806.21,142.87,3.96,0,55,1,1
Google,New,16,256,Unlocked,958.43,94.11,4.13,0,76,0,0
Apple,Refurbished,12,512,Verizon,466.59,90.76,4.69,0,56,0,0
Apple,New,6,256,Unlocked,847.53,139.36,3.42,0,87,0,1
Apple,New,6,256,Verizon,867.49,96.47,3.23,0,118,0,0
Google,New,12,256,AT&T,867.7,55.73,4.75,2,37,0,0
Samsung,New,8,256,Unlocked,549.15,0.0,4.13,0,26,0,0
Google,OpenBox,12,512,AT&T,948.32,137.53,4.63,0,67,0,0
Google,New,6,512,Unlocked,1083.16,101.99,5.0,0,60,1,0
Samsung,New,6,256,T-Mobile,939.61,245.34,3.89,0,51,0,1
Samsung,New,8,256,T-Mobile,799.58,74.25,3.57,1,19,1,0
Apple,New,12,512,Verizon,1441.59,98.12,4.26,1,14,0,0
Apple,New,16,128,T-Mobile,646.59,99.53,4.06,0,59,0,0
Samsung,New,12,128,AT&T,1020.16,119.05,4.39,0,87,1,0
Samsung,New,8,512,Unlocked,903.52,21.99,4.67,0,65,0,1
Samsung,New,12,256,Unlocked,1292.71,75.37,4.56,2,93,1,0
Google,New,6,128,Unlocked,935.08,129.66,4.42,0,17,0,0
Samsung,Refurbished,8,256,Unlocked,982.25,60.03,4.93,0,113,0,0
Samsung,New,16,256,Verizon,961.26,127.41,4.74,0,84,0,0
Samsung,New,8,256,Unlocked,617.17,85.8,4.31,1,80,0,0
Apple,New,16,256,Verizon,658.85,104.11,4.72,0,99,0,1
Apple,New,8,64,Unlocked,789.35,149.07,3.63,1,113,1,0
Samsung,New,6,128,Unlocked,1060.62,66.36,4.93,0,98,1,1
Apple,New,8,64,Unlocked,901.28,0.0,4.41,0,58,1,0
Samsung,New,16,512,T-Mobile,804.52,64.02,3.8,3,87,1,1
OnePlus,New,8,128,Unlocked,1151.88,30.47,4.19,1,51,1,0
Apple,New,12,256,Unlocked,413.87,0.0,4.92,0,17,0,0
Apple,Refurbished,6,256,Unlocked,564.92,73.6,4.02,0,118,1,0
Apple,New,12,256,T-Mobile,300.75,91.94,4.61,0,74,0,1
Apple,New,8,256,Unlocked,1115.83,141.25,4.84,0,94,1,0
Samsung,New,6,256,Verizon,828.72,11.64,4.41,3,84,0,0
Samsung,New,12,256,Unlocked,1062.58,85.31,3.97,0,41,0,0
Google,OpenBox,12,64,Unlocked,825.96,147.69,4.37,1,91,0,0
Samsung,New,8,128,AT&T,1075.1,45.52,3.7,0,39,1,0
Samsung,New,8,256,Verizon,822.11,112.17,4.16,0,85,0,0
Google,New,6,128,Verizon,940.18,175.86,3.85,1,98,0,0
Apple,New,16,256,Unlocked,907.97,0.0,4.38,1,75,0,0
Apple,Refurbished,12,128,T-Mobile,924.3,96.36,3.77,0,57,1,0
Apple,New,12,256,Verizon,1220.64,149.77,4.44,1,87,0,0
Google,OpenBox,12,128,T-Mobile,492.63,58.96,4.97,0,9,0,0
